band,fID,obsHistID
r,1427,230
r,1427,231
r,1427,232
r,1427,233
r,1427,234
r,1427,235
r,1427,236
r,1427,237
r,1427,238
r,1427,239
r,1427,240
r,1427,241
r,1427,242
r,1427,243
r,1427,244
r,1427,245
r,1427,246
r,1427,247
r,1427,248
r,1427,249
g,1427,250
g,1427,251
g,1427,252
g,1427,253
g,1427,254
g,1427,255
g,1427,256
g,1427,257
g,1427,258
g,1427,259
i,1427,260
i,1427,261
i,1427,262
i,1427,263
i,1427,264
i,1427,265
i,1427,266
i,1427,267
i,1427,268
i,1427,269
i,1427,270
i,1427,271
i,1427,272
i,1427,273
i,1427,274
i,1427,275
i,1427,276
i,1427,277
i,1427,278
i,1427,279
z,1427,280
z,1427,281
z,1427,282
z,1427,283
z,1427,284
z,1427,285
z,1427,286
z,1427,287
z,1427,288
z,1427,289
z,1427,290
z,1427,291
z,1427,292
z,1427,293
z,1427,294
z,1427,295
z,1427,296
z,1427,297
z,1427,298
z,1427,299
z,1427,300
z,1427,301
z,1427,302
z,1427,303
z,1427,304
z,1427,305
y,1427,306
y,1427,307
y,1427,308
y,1427,309
y,1427,310
y,1427,311
y,1427,312
y,1427,313
y,1427,314
y,1427,315
y,1427,316
y,1427,317
y,1427,318
y,1427,319
y,1427,320
y,1427,321
y,1427,322
y,1427,323
y,1427,324
y,1427,325
u,1427,2229
u,1427,2230
u,1427,2231
u,1427,2232
u,1427,2233
u,1427,2234
u,1427,2235
u,1427,2236
u,1427,2237
u,1427,2238
u,1427,2239
u,1427,2240
u,1427,2241
u,1427,2242
u,1427,2243
u,1427,2244
u,1427,2245
u,1427,2246
u,1427,2247
u,1427,2248
u,1427,2928
u,1427,2929
u,1427,2930
u,1427,2931
u,1427,2932
u,1427,2933
u,1427,2934
u,1427,2935
u,1427,2936
u,1427,2937
u,1427,2938
u,1427,2939
u,1427,2940
u,1427,2941
u,1427,2942
u,1427,2943
u,1427,2944
u,1427,2945
u,1427,2946
u,1427,2947
u,1427,3647
u,1427,3648
u,1427,3649
u,1427,3650
u,1427,3651
u,1427,3652
u,1427,3653
u,1427,3654
u,1427,3655
u,1427,3656
u,1427,3657
u,1427,3658
u,1427,3659
u,1427,3660
u,1427,3661
u,1427,3662
u,1427,3663
u,1427,3664
u,1427,3665
u,1427,3666
u,1427,4564
u,1427,4565
u,1427,4566
u,1427,4567
u,1427,4568
u,1427,4569
u,1427,4570
u,1427,4571
u,1427,4572
u,1427,4573
u,1427,4574
u,1427,4575
u,1427,4576
u,1427,4577
u,1427,4578
u,1427,4579
u,1427,4580
u,1427,4581
u,1427,4582
u,1427,4583
r,1427,185596
r,1427,185597
r,1427,185598
r,1427,185599
r,1427,185600
r,1427,185601
r,1427,185602
r,1427,185603
r,1427,185604
r,1427,185605
r,1427,185606
r,1427,185607
r,1427,185608
r,1427,185609
r,1427,185610
r,1427,185611
r,1427,185612
r,1427,185613
r,1427,185614
g,1427,185615
g,1427,185616
g,1427,185617
g,1427,185618
g,1427,185619
g,1427,185620
g,1427,185621
g,1427,185622
g,1427,185623
g,1427,185624
i,1427,185625
i,1427,185626
i,1427,185627
